feature,importance,source
REGION_RATING_CLIENT,38,Principal
pos_dpd_sum_12m,37,Periférica
FLAG_DOCUMENT_18,37,Principal
FLOORSMAX_MEDI,35,Principal
FLAG_DOCUMENT_16,33,Principal
bb_status_std_12m,33,Periférica
pos_dpd_max_12m,32,Periférica
ELEVATORS_MODE,32,Principal
WALLSMATERIAL_MODE,30,Principal
FLAG_PHONE,29,Principal
FLOORSMIN_MODE,28,Principal
FLOORSMAX_MODE,28,Principal
cc_pay_null_sum_6m,27,Periférica
NAME_CONTRACT_TYPE,26,Principal
NONLIVINGAPARTMENTS_MEDI,25,Principal
bb_status_std_6m,24,Periférica
FONDKAPREMONT_MODE,24,Principal
pos_dpd_mean_6m,24,Periférica
FLAG_OWN_REALTY,23,Principal
inst_n_6m,22,Periférica
inst_is_late_sum_6m,22,Periférica
AMT_REQ_CREDIT_BUREAU_WEEK,19,Principal
FLAG_EXT_SOURCE_1_NULL,18,Principal
REG_CITY_NOT_WORK_CITY,18,Principal
bb_status_mean_6m,18,Periférica
FLAG_DOCUMENT_14,17,Principal
ELEVATORS_MEDI,17,Principal
FLOORSMIN_MEDI,17,Principal
pos_dpd_def_mean_3m,16,Periférica
bureau_overdue_days_max,16,Periférica
LIVE_CITY_NOT_WORK_CITY,15,Principal
pos_dpd_max_3m,14,Periférica
FLAG_OWN_CAR,13,Principal
pos_n_6m,13,Periférica
cc_pay_null_sum_3m,13,Periférica
bb_status_std_3m,12,Periférica
pos_dpd_max_6m,11,Periférica
FLAG_DOCUMENT_13,11,Principal
FLAG_DOCUMENT_6,10,Principal
FLAG_EMAIL,10,Principal
inst_is_late_sum_3m,10,Periférica
cc_dpd_mean_12m,10,Periférica
pos_dpd_mean_3m,10,Periférica
bb_status_mean_3m,9,Periférica
LIVE_REGION_NOT_WORK_REGION,9,Principal
FLAG_DOCUMENT_8,9,Principal
REG_REGION_NOT_WORK_REGION,8,Principal
FLAG_DOCUMENT_11,8,Principal
AMT_REQ_CREDIT_BUREAU_DAY,8,Principal
cc_dpd_mean_6m,7,Periférica
bureau_overdue_days_mean,7,Periférica
FLAG_DOCUMENT_5,6,Principal
inst_n_3m,6,Periférica
EMERGENCYSTATE_MODE,5,Principal
cc_dpd_max_6m,4,Periférica
FLAG_EXT_SOURCE_3_NULL,4,Principal
pos_dpd_sum_6m,4,Periférica
REG_REGION_NOT_LIVE_REGION,3,Principal
inst_is_very_late_sum_12m,3,Periférica
HOUSETYPE_MODE,2,Principal
bb_status_max_12m,2,Periférica
cc_dpd_mean_3m,2,Periférica
pos_n_3m,1,Periférica
pos_dpd_sum_3m,1,Periférica
cc_dpd_max_12m,1,Periférica
bb_status_max_6m,1,Periférica
bb_status_max_3m,1,Periférica
AMT_REQ_CREDIT_BUREAU_HOUR,1,Principal
FLAG_DOCUMENT_10,0,Principal
FLAG_DOCUMENT_7,0,Principal
FLAG_DOCUMENT_2,0,Principal
FLAG_DOCUMENT_4,0,Principal
FLAG_MOBIL,0,Principal
FLAG_CONT_MOBILE,0,Principal
FLAG_EMP_PHONE,0,Principal
FLAG_DOCUMENT_15,0,Principal
FLAG_DAYS_EMPLOYED_ANOMALY,0,Principal
FLAG_DOCUMENT_17,0,Principal
FLAG_DOCUMENT_21,0,Principal
FLAG_DOCUMENT_20,0,Principal
FLAG_DOCUMENT_19,0,Principal
FLAG_DOCUMENT_9,0,Principal
FLAG_DOCUMENT_12,0,Principal
FLAG_CNT_FAM_MEMBERS_NULL,0,Principal
FLAG_AMT_GOODS_PRICE_NULL,0,Principal
FLAG_AMT_ANNUITY_NULL,0,Principal
FLAG_EXT_SOURCE_2_NULL,0,Principal
FLAG_AMT_INCOME_TOTAL_NULL,0,Principal
FLAG_YEARS_EMPLOYED_NULL,0,Principal
inst_is_very_late_sum_6m,0,Periférica
inst_is_very_late_sum_3m,0,Periférica
cc_dpd_max_3m,0,Periférica
