feature,importance
FLAG_DOCUMENT_11,215.7031021118164
IS_UNDERPAID_sum_LAST_180D,214.64839935302734
FONDKAPREMONT_MODE,204.90070343017578
IS_UNDERPAID_mean_LAST_360D,186.66350173950195
REG_REGION_NOT_WORK_REGION,177.3102035522461
REG_CITY_NOT_WORK_CITY,174.73860549926758
IS_LATE_sum_LAST_180D,174.47010040283203
LIVE_CITY_NOT_WORK_CITY,169.1438980102539
IS_UNDERPAID_sum,152.96680068969727
FLOORSMIN_MODE,142.06829833984375
LATE_DAYS_max_LAST_90D,120.51599884033203
IS_MISSING_PAYMENT_mean,90.1989974975586
FLAG_DOCUMENT_5,64.59719848632812
REG_REGION_NOT_LIVE_REGION,63.94729995727539
FLAG_DOCUMENT_15,63.22570037841797
FLAG_DOCUMENT_8,52.70240020751953
IS_MISSING_PAYMENT_sum,52.04359817504883
FLAG_DOCUMENT_14,47.1260986328125
HOUSETYPE_MODE,28.65839958190918
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_EMAIL,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_6,0.0
EMERGENCYSTATE_MODE,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
IS_UNDERPAID_sum_LAST_90D,0.0
LATE_DAYS_max_LAST_180D,0.0
IS_UNDERPAID_sum_LAST_360D,0.0
